name,id,brewer,alcohol_by_volume,style,category,country
German Premium Dark,3060,Diebels Privatbrauerei,0.0,American-Style Brown Ale,North American Ale,Germany
Beck's Light,5867,Brauerei Beck,0.0,European Low-Alcohol Lager,German Lager,Germany
Alt,3063,Privatbrauerei Bolten,4.9000000954,American-Style Brown Ale,North American Ale,Germany
Der Weisse Bock,211,Bamberger Mahr's-Bru,8.5,South German-Style Weizenbock,German Ale,Germany
EKU 28,375,Kulmbacher Brauerei AG,11.0,Traditional German-Style Bock,German Lager,Germany
Golden Abbot Lager,454,Klosterbrauerei Neuzelle,0.0,NA,NA,Germany
MÃ¶nchshof Premium Schwarzbier,480,Kulmbacher Brauerei AG,4.9000000954,German-Style Schwarzbier,German Lager,Germany
BrÃ¤ustatt Gold,523,Simmerberg Brusttt und Taferne,0.0,NA,NA,Germany
Hefe Weizen Hell,586,Ruppaner-Brauerei,0.0,South German-Style Hefeweizen,German Ale,Germany
Maisel's Weisse Kristall,4582,Brauerei Gbr. Maisel KG,5.0999999046,Belgian-Style White,Belgian and French Ale,Germany
Hannen Alt,5339,Hannen Brauerei,0.0,German-Style Brown Ale/Altbier,German Ale,Germany
BeckÂ´s,4408,Beck's,4.5,German-Style Pilsener,German Lager,Germany
Original Oktoberfest,2768,Hacker-Pschorr Bru,0.0,German-Style Oktoberfest,German Lager,Germany
1809,169,Doemens e.V.,5.0,NA,NA,Germany
Pilsner,434,Bamberger Mahr's-Bru,4.9000000954,NA,NA,Germany
Schlenkerla Helles Lagerbier,459,Heller Bru Trum,4.3000001907,NA,NA,Germany
Kloster Dunkel,494,Ettaler Klosterbetriebe Abteilung Brauerei & Destillerie,0.0,NA,NA,Germany
Kloster Edel-Hell,495,Ettaler Klosterbetriebe Abteilung Brauerei & Destillerie,0.0,NA,NA,Germany
Weiss-Gold,500,Meckatzer Lwenbru,0.0,NA,NA,Germany
Kronenbier,517,Brauerei & Gasthof zur Krone,0.0,NA,NA,Germany
Herbstbeer,589,Brauhaus Johann Albrecht - Konstanz,0.0,German-Style Oktoberfest,German Lager,Germany
Messing,592,Brauhaus Johann Albrecht - Konstanz,0.0,NA,NA,Germany
Weisse,801,Berliner Kindl Brauerei AG,0.0,NA,NA,Germany
Hefe Weissbier,3116,Bayerische Staatsbrauerei Weihenstephan,5.4000000954,South German-Style Hefeweizen,German Ale,Germany
Hansa Imported Dortmunder,4654,Dortmunder Actien Brauerei  DAB,4.8000001907,American-Style Lager,North American Lager,Germany
Alt Munich Dark,2790,Hacker-Pschorr Bru,0.0,NA,NA,Germany
Weizen Bier,2835,Brauerei Herrenhausen,0.0,South German-Style Hefeweizen,German Ale,Germany
